season,id,title,air_date,vid,reair
2008,1,Bento,2008-04-14,pa6clxat_kE,
2008,2,Miyazawa Kenji,2008-04-21,DhwIsqtEe20,
2008,3,Lacquerware,2008-04-28,eqZRiEmGXnY,
2008,4,Rakugo,2008-05-05,,
2008,5,Tsukiji Market,2008-05-12,j6doIFLpS8k,
2008,6,Yoshoku,2008-05-19,VP1-Lm4O5Rc,
2008,7,Kyudo,2008-05-26,9NIadIGDqs4,
2008,8,Tea Ceremony Architecture,2008-06-02,bthDl7RHgdg,
2008,9,Dagashiya (candy shops),2008-06-09,bvfEXmAANFA,
2008,10,Nihon Buyo,2008-06-16,5UHRW0JeEJY,
2008,11,Abacus,2008-06-23,zMhcr--d6bw,
2008,12,Ryukyu Kimono,2008-06-30,ShygvjCwp28,
2008,13,Bamboo,2008-07-14,XxoyZYmrEWY,
2008,14,Shirakawa-go,2008-07-21,Nz--9F3eeCc,
2008,15,Fireworks,2008-07-28,9zXrnesqGWg,
2008,16,Hanging Scrolls,2008-08-17,8VbYwgSNc6w,
2008,17,The Tale of Genji: Part 1,2008-08-24,SRDbdsz8Qn8,
2008,18,The Tale of Genji: Part 2,2008-08-31,CYtOSGD4wE0,
2008,19,Matcha,2008-09-07,GWzx90WImXE,
2008,20,Tokyo Tower,2008-09-14,K745q2ha5XE,
2008,21,Dashi,2008-09-21,1PKLRjSxd4Y,
2008,22,Oribe-yaki (pottery),2008-09-28,QcZQQbZVYwM,
2008,23,The Colorful World of Utagawa Hiroshige,2008-10-05,7EzjC86KyPE,
2008,24,The Seven Gods of Good Fortune,2008-10-12,,
2008,25,Sushi,2008-10-19,O69u8hlazhw,
2008,26,Mikoshi (portable shrines),2008-10-26,,
2008,27,Yuzen Kimono,2008-11-02,nCc8kSQqyXU,
2008,28,Buddhist Statues,2008-11-09,xtQhOtnZA2o,
2008,29,Hot Springs,2008-11-16,,
2008,30,Fish,2008-11-23,,
2008,31,Tatami (straw mats),2008-12-01,,
2008,32,Castles,2008-12-08,nZETz7b7K5w,
2008,33,Miso,2008-12-15,,
2009,1,Nishijin-ori,2009-01-19,8MBm2jJ01GM,
2009,2,Kyoto Lacquerware,2009-01-26,,
2009,3,Sake,2009-02-02,jD9pr5pKgzM,
2009,4,Katsura Rikyu,2009-02-09,vGmCzuosUrM,
2009,5,Bonsai,2009-02-16,v9ev21VeqZ4,
2009,6,The Four Season,2009-02-23,kQR2b8S4McU,
2009,7,Hina Dolls,2009-03-02,lT3wvAfPwZk,
2009,8,Nagasaki,2009-03-09,f0A7eykYe44,
2009,9,Five-Story Pagodas,2009-03-16,tkmoMDVYWQU,
2009,10,Cherry Blossoms,2009-03-23,U3iAuSscETU,
2009,11,Chopsticks,2009-04-03,DibeocJRzXw,
2009,12,Aizome,2009-04-10,XyZ2N2z9Vrk,
2009,13,Bunraku,2009-04-17,Qgu1Z2XyOYA,
2009,14,Kiriko Cut Glass,2009-04-24,y0f3HbkBSnQ,
2009,15,Traditional Folk Houses,2009-05-08,Uq1HY-ZR-eo,
2009,16,Tea Ceremony,2009-05-15,1mHPZ270t14,
2009,17,Soba,2009-05-22,pwI7BHDFQk4,
2009,18,Origami,2009-05-29,bpXLbQPSdMQ,
2009,19,Imari Porcelain,2009-06-05,ARKvBGboo2s,
2009,20,Folding Fan,2009-06-19,touW4Vz2jN0,
2009,21,Kaiseki Cuisine,2009-07-10,NptK1mM67j8,
2009,22,The Sounds of Japan,2009-07-17,WzAz1wEHiCI,
2009,23,Masks,2009-07-24,h0Cqg6vAfgk,
2009,24,Satoyama,2009-07-31,GieM-putjg8,
2009,25,Kendo,2009-08-29,_mCU64HwWOs,
2009,26,The Fragrances of Japan,2009-09-04,ncl-SYUd560,
2009,27,Spinning Tops,2009-09-11,VWQ6ur7u0u0,
2009,28,Rock and Stone,2009-09-18,SODqRqRe3bg,
2009,29,Ink Brushes,2009-09-25,LsWtFbT2FuI,
2009,30,Tsukemono Pickles,2009-10-02,FcGOijjFdUQ,
2009,31,Dogs,2009-10-09,Pq8Znmk4zho,
2009,32,Ramen,2009-10-16,7r8TViWQYzA,
2009,33,Rice,2009-10-23,E59vK4KwQ1U,
2009,34,Shinto Shrine,2009-10-30,G3-uApXS7qg,
2009,35,Festivals,2009-11-06,CVLRG6KAPgI,
2009,36,Shinkansen,2009-11-13,3geCrGsB9No,
2009,37,Gagaku,2009-11-20,,
2009,38,Marriage,2009-11-27,7DOyClcZFzg,
2009,39,Shogi,2009-12-04,AbOC9lhVJB8,
2009,40,Nabe Cuisine,2009-12-11,MQmdgcZAAOY,
2009,41,Sword,2009-12-18,t6SMRaKMtFY,
2010,1,Sentou,2010-01-08,Y_tHwUJlL2c,
2010,2,Karuta,2010-01-15,L8wgWVkDpsk,
2010,3,Taiko,2010-01-22,dZo8rUmGoXI,
2010,4,Cram School,2010-01-29,5Egnb4bObVQ,
2010,5,Light,2010-02-05,d1-9YY3Oi_o,
2010,6,Footwear,2010-02-12,4W_vx6REIuk,
2010,7,Monkey,2010-02-19,pHAwzEG6guw,
2010,8,Soy Sauce,2010-02-26,fRbaodBvTks,
2010,9,Tuna,2010-03-05,MOx8bsa1ZI0,
2010,10,Fusuma,2010-03-12,d2nRJw248pE,
2010,11,Pearl,2010-03-19,YVbbIlGyxA4,
2010,12,Todaiji,2010-04-02,YiqCVv7xVVM,
2010,13,School Lunches,2010-04-09,3bGWOJveIv0,
2010,14,Geiko and Maiko,2010-04-16,6l9Y5y9NL_g,
2010,15,Robots,2010-04-23,YEsZ_NPPBls,
2010,16,Wasabi,2010-04-30,2qq30ya3ui4,
2010,17,Women's Fashion Magazines,2010-05-14,,
2010,18,Izakaya,2010-05-21,szLNJwp_kzc,
2010,19,Apartments and Condominiums,2010-05-28,1SSjjYqXV0w,
2010,20,Towns and Neighbourhoods,2010-06-11,AzPgL578ciw,
2010,21,Tempura,2010-06-18,LZ2ShALb2Ew,
2010,22,Subways,2010-06-25,lU1kGrqPVM4,
2010,23,Hairstyles,2010-07-02,4Jffa-5e4e4,
2010,24,Home Appliances,2010-07-09,116LYnwiUCE,
2010,25,Roof Tiles,2010-07-16,LpXGjn_r97Q,
2010,26,Miniaturization,2010-07-23,3QY2R9w4KFE,
2010,27,Silk,2010-08-13,hYfUxDYRJJU,
2010,28,Soybeans,2010-08-20,mIJDOhskEcg,
2010,29,Curry,2010-08-25,4YPL-cRDYHU,
2010,30,Dams,2010-09-03,gIL9kSXlmow,
2010,31,Hotels,2010-09-10,RcTchI0Q874,
2010,32,Radio Calisthenics,2010-09-17,TxlbfotUXxY,
2010,33,Ekiben,2010-09-24,1DrwpFhCtd8,
2010,34,Bridges,2010-10-08,jps6kJGyEL0,
2010,35,Earthquakes,2010-10-15,2WpXNkuCjCY,
2010,36,Chrysanthemums,2010-10-22,BPI9IADJKUg,
2010,37,Cameras,2010-11-04,caBLSpd_NQw,
2010,38,Hiragana,2010-11-11,cM5oy9EsZMU,
2010,39,Udon,2010-11-18,5Bs31quSWFw,
2010,40,Money,2010-11-25,UHuj751uzgQ,
2010,41,Nishikigoi,2010-12-02,3BbWOYD4ZOw,
2010,42,Volcanoes,2010-12-09,6PBhkzLGKxc,
2010,43,Firefighting,2010-12-16,,
2011,1,Mochi Rice Cake,2011-01-13,5vm_4EiZIe8,
2011,2,Watches and Clocks,2011-01-20,8ycrkF7mZnI,
2011,3,Fugu Blowfish,2011-01-27,OBbfG0MWCHA,
2011,4,Haneda Airport,2011-02-03,lVNZQaVNJQk,
2011,5,Kagura Dances,2011-02-10,Z2fpBtfoHuI,
2011,6,Snow,2011-02-17,kp_LuPpmyGg,
2011,7,Pollen Allergy,2011-03-03,5Bvuzn5aJjI,
2011,8,Sashimono Woodwork,2011-03-10,Y8vJ11cXLs4,
2011,9,Cranes,2011-04-07,H4X6ZSLi3d4,
2011,10,Kitchen Knives,2011-04-14,dhhIGQdV2W4,
2011,11,Fishing,2011-04-21,ZYecfeOTh7o,
2011,12,Armour,2011-04-28,ht8eRwl1WCM,
2011,13,Judo,2011-05-05,sJcUaJK8a90,
2011,14,The Life of Taro Okamoto,2011-05-12,cT8SojrLBp0,
2011,15,The Life of Osamu Dazai,2011-05-19,irhmY548V6E,
2011,16,The Life of Kenzo Tange,2011-05-26,NKBnU4Ug5TQ,
2011,17,The Life of Hideko Maehata,2011-06-02,_onlKgAlZ4w,
2011,18,Toilets,2011-06-09,culcenqXh1s,
2011,19,Lifts,2011-06-16,,
2011,20,Motorcycles,2011-06-23,yH75ZLJziVU,
2011,21,Unagi Eel,2011-06-30,aqCL-m6IMRw,
2011,22,Japanophiles: Ilan Yanizky,2011-07-07,lzNeGN8RmcU,
2011,23,Japanophiles: Silvain Guignard,2011-07-14,NUUxCiz1FmI,
2011,24,Japanophiles: Stéphane Danton,2011-07-21,QLhAbLOiWP0,
2011,25,Japanophiles: Dorothy Feibleman,2011-07-28,EHIiideem10,
2011,26,Plastic Food Samples,2011-08-18,lf5bQaGrNCY,
2011,27,Insects,2011-08-25,-h4_OoTafsA,
2011,28,Traditional Japanese Mathematics,2011-09-01,,
2011,29,Bicycles,2011-09-08,6MCljHHBLwI,
2011,30,Chusonji,2011-09-15,CNKo2idR17g,
2011,31,Seaweed,2011-09-29,esUbF-t7Deo,
2011,32,Charcoal,2011-10-06,TiV1dyTAX-Q,
2011,33,Rain,2011-10-13,WeUdZ3CYFlM,
2011,34,Golf,2011-10-20,,
2011,35,Shipbuilding,2011-10-27,JiJPfM_NmzM,
2011,36,Japanophiles: Bruce Huebner,2011-11-03,M6cl3y4v5Lc,
2011,37,Japanophiles: Noelke Muho,2011-11-10,NYWn3UqIri4,
2011,38,Japanophiles: Matt Alt,2011-11-17,RpMcC10BvME,
2011,39,Karaoke,2011-11-24,CZJvSuVQb3E,
2011,40,Holidays,2011-12-01,NegfAX0RsQM,
2011,41,Red Sea Bream,2011-12-08,hkIw3ONquD0,
2011,42,Shopping Streets,2011-12-15,iv3PgUkRsMs,
2011,43,Chickens and Eggs,2011-12-22,2XhdRf8g4P8,
2012,1,Ekiden,2012-01-12,mzIT-1v_jdw,
2012,2,Batteries,2012-01-19,g79DeNcm60o,
2012,3,Cafes,2012-01-26,GwiQB9byb_g,
2012,4,Hot Water Bottles and Pocket Warmers,2012-02-02,vAoQIsiLmCY,
2012,5,Ikebana,2012-02-09,MtpGtSqD90s,
2012,6,Excavators,2012-02-16,2k5jKA2ER60,
2012,7,Woods & Forests,2012-02-23,,
2012,8,Japanophiles: Dhugal Lindsay,2012-03-01,oF4OoMhk4Uk,
2012,9,Japanophiles: Richard Emmert,2012-03-08,P_j9N1sd314,
2012,10,Japanophiles: Art Lee,2012-03-15,BaIWT2P-HbU,
2012,11,Japanophiles: Philip Harper,2012-03-29,ZWW26yU2Hww,
2012,12,Kabuki,2012-04-05,T4A57tOTsPM,
2012,13,Wild Vegetables,2012-04-12,-tCieGb9Xwc,
2012,14,Horses,2012-04-19,,
2012,15,Massage Chairs,2012-04-26,saPArolX46E,
2012,16,Shikoku Pilgrimage,2012-05-03,8DVN0Zrd8wk,
2012,17,Regional Fast Food,2012-05-10,oHO_wVkgED0,
2012,18,Department Stores,2012-05-17,MIg5Kq77lrM,
2012,19,Kimonos,2012-05-24,6_sgc-H1bzM,
2012,20,Aquariums,2012-06-07,n6-U_jZK4Q8,
