series,season,Episode,Name,Air Date,vid
Begin Japanology,1,1,Bento,"April 14, 2008",n8U3AP5gvZI
Begin Japanology,1,2,Miyazawa Kenji,"April 21, 2008",ZWGzkGK72pM
Begin Japanology,1,3,Lacquerware,"April 28, 2008",8MFye9fiGp0
Begin Japanology,1,4,Rakugo,"May 5, 2008",DEXqmAJwTAk
Begin Japanology,1,5,Tsukiji Market,"May 12, 2008",1oKucOTtfV0
Begin Japanology,1,6,Yoshoku,"May 19, 2008",Kr3AfyFlPxE
Begin Japanology,1,7,Kyudo,"May 26, 2008",fySi_em9mCI
Begin Japanology,1,8,Tea Ceremony Architecture,"June 2, 2008",t6BorZiBLCc
Begin Japanology,1,9,Dagashi-ya,"June 9, 2008",rnP-WqxZ4po
Begin Japanology,1,10,Nihon Buyo,"June 16, 2008",UGzlKH2ZIaY
Begin Japanology,1,11,Abacus,"June 23, 2008",zvqLczcoaGM
Begin Japanology,1,12,Ryukyu Kimono,"June 30, 2008",wKJwpHjvR9I
Begin Japanology,1,13,Bamboo,"July 14, 2008",tZXOQnjrxaA
Begin Japanology,1,14,Shirakawa-go,"July 21, 2008",3phbLV3rmS0
Begin Japanology,1,15,Fireworks,"July 28, 2008",TO3-oX5Z73Q
Begin Japanology,1,16,Hanging scrolls,"August 17, 2008",wbLqW0cHLBs
Begin Japanology,1,17,The Tale of Genji: Part 1,"August 24, 2008",buHEGGIHA5M
Begin Japanology,1,18,The Tale of Genji: Part 2,"August 31, 2008",AxwhjLWeTOM
Begin Japanology,1,19,Matcha,"September 7, 2008",fXS2VocTmeU
Begin Japanology,1,20,Tokyo Tower,"September 14, 2008",6BYYAYviH8I
Begin Japanology,1,21,Dashi,"September 21, 2008",YnvtqoHlXnI
Begin Japanology,1,22,Oribe-yaki (pottery),"September 28, 2008",37vYpZKlXyw
Begin Japanology,1,23,The Colorful World of Utagawa Hiroshige,"October 5, 2008",ItAhv1MM2NE
Begin Japanology,1,24,The Seven Gods of Good Fortune,"October 12, 2008",JQ4V7p7hBuE
Begin Japanology,1,25,Sushi,"October 19, 2008",itnsF7cJjGM
Begin Japanology,1,26,Mikoshi (portable shrines),"October 26, 2008",xob2dXt4284
Begin Japanology,1,27,Yuzen Kimono,"November 2, 2008",GKgpvd__Bxs
Begin Japanology,1,28,Buddhist Statues,"November 9, 2008",dq5sLMVJeyg
Begin Japanology,1,29,Hot springs,"November 16, 2008",OTLoC_dH_i8
Begin Japanology,1,30,Fish,"November 23, 2008",r2YWNB2tkbQ
Begin Japanology,1,31,Tatami (straw mats),"December 1, 2008",e839VGOpl-A
Begin Japanology,1,32,Castles,"December 8, 2008",ZGGCOye9A5g
Begin Japanology,1,33,Miso,"December 15, 2008",w6DuDWzQ0jI
Begin Japanology,2,1,Nishijin-ori,"January 19, 2009",anI7ozVeDN8
Begin Japanology,2,2,Kyoto Lacquerware,"January 26, 2009",8MFye9fiGp0
Begin Japanology,2,3,Sake,"February 2, 2009",QLkuLKAdGJQ
Begin Japanology,2,4,Katsura Rikyu,"February 9, 2009",DQiOGHyq6qk
Begin Japanology,2,5,Bonsai,"February 16, 2009",v1wPXZPSAFw
Begin Japanology,2,6,The Four Seasons,"February 23, 2009",JAFWlSM7xjg
Begin Japanology,2,7,Hina Dolls,"March 2, 2009",R8PEAZyQ83c
Begin Japanology,2,8,Nagasaki,"March 9, 2009",RVbOts29z74
Begin Japanology,2,9,Five-Story Pagodas,"March 16, 2009",mBaml32Jam8
Begin Japanology,2,10,Cherry blossoms,"March 23, 2009",zboO2yaziho
Begin Japanology,2,11,Chopsticks,"April 3, 2009",FsSvVF2fPRc
Begin Japanology,2,12,Aizome,"April 10, 2009",JI2Ugy04cG4
Begin Japanology,2,13,Bunraku,"April 17, 2009",klKih8OazUI
Begin Japanology,2,14,Kiriko Cut Glass,"April 24, 2009",E5Y6fKQ8C7M
Begin Japanology,2,15,Traditional Folk Houses,"May 8, 2009",7ZWk34KXbMM
Begin Japanology,2,16,Tea Ceremony,"May 15, 2009",gKM9VfQFGWY
Begin Japanology,2,17,Soba,"May 22, 2009",screCVQbKKw
Begin Japanology,2,18,Origami,"May 29, 2009",__Abslipq3s
Begin Japanology,2,19,Imari Porcelain,"June 5, 2009",37vYpZKlXyw
Begin Japanology,2,20,Folding Fan,"June 19, 2009",XZaDH3iIPh4
Begin Japanology,2,21,Kaiseki Cuisine,"July 10, 2009",DFa7e_elUHk
Begin Japanology,2,22,The Sounds of Japan,"July 17, 2009",QmEk97i5Gy0
Begin Japanology,2,23,Masks,"July 24, 2009",RSS4NYDt3z8
Begin Japanology,2,24,Satoyama,"July 31, 2009",HLPELgyjLFU
Begin Japanology,2,25,Kendo,"August 29, 2009",8Ea2ih7uNW4
